client,tau,theta_star,final_pnl
A,5,0.7000000000000001,10388.4986
A,10,0.55,12225.1255
A,15,0.7000000000000001,13423.6105
A,20,0.75,16414.377
A,25,0.5,18376.051
A,30,0.55,19541.6075
B,5,0.55,8606.7976
B,10,0.5,9344.6497
B,15,0.55,10741.9512
B,20,0.7000000000000001,11187.0063
B,25,0.65,12692.0917
B,30,0.6000000000000001,13855.3566
C,5,0.6000000000000001,8146.4357
C,10,0.55,8831.4926
C,15,0.65,8891.3742
C,20,0.6000000000000001,8960.5648
C,25,0.65,9511.2704
C,30,0.55,9503.0771
D,5,0.5,4369.8718
D,10,0.6000000000000001,3273.9043
D,15,0.55,1759.1312
D,20,0.7000000000000001,-371.0379
D,25,0.55,-1325.9269
D,30,0.4,450.9731
E,5,0.6000000000000001,3356.4558
E,10,0.30000000000000004,49.5777
E,15,0.0,0.0
E,20,0.4,-7.4535
E,25,0.30000000000000004,0.0
E,30,0.0,0.0
F,5,0.6000000000000001,2080.2957
F,10,0.5,-271.4799
F,15,0.35000000000000003,16.1338
F,20,0.35000000000000003,-20.8438
F,25,0.4,-21.4998
F,30,0.5,-262.4783
